天府TV魔力荟萃,rtp://239.10.0.140:5140
天府TV时尚天地,rtp://239.10.0.141:5140
天府TV星动娱乐,rtp://239.10.0.142:5140
天府TV时尚生活,rtp://239.10.0.144:5140
天府TV魔力TV,rtp://239.10.0.145:5140
IPTV戏曲,rtp://239.10.0.150:5140
IPTV光影,rtp://239.10.0.153:5140
IPTV星影,rtp://239.10.0.156:5140
天府TV积木宝贝,rtp://239.10.0.157:5140
天府TV启蒙乐园,rtp://239.10.0.158:5140
新动漫,rtp://239.10.0.159:5140
动画,rtp://239.10.0.163:5140
IPTV高网,rtp://239.10.0.164:5140
天府TV人文记录,rtp://239.10.0.166:5140
天府TV电竞世界,rtp://239.10.0.167:5140
BesTV极速汽车,rtp://239.10.0.168:5140
CDTV2,rtp://239.10.0.174:5140
CCTV1,rtp://239.10.0.175:5140
中国天气,rtp://239.10.0.177:5140
东方财经浦东,rtp://239.10.0.178:5140
金色学堂,rtp://239.10.0.179:5140
法制天地,rtp://239.10.0.180:5140
财富天下,rtp://239.10.0.182:5140
UTV都市剧场,rtp://239.10.0.185:5140
IPTV国学,rtp://239.10.0.186:5140
天府TV影院,rtp://239.10.0.188:5140
天府TV综合,rtp://239.10.0.189:5140
IPTV地理,rtp://239.10.0.190:5140
看电影,rtp://239.10.0.191:5140
纪实人文,rtp://239.10.0.192:5140
金鹰纪实,rtp://239.10.0.193:5140
天府TV财经频道,rtp://239.10.0.194:5140
天府TV乐趣综合,rtp://239.10.0.195:5140

金鹰卡通,rtp://239.11.0.127:5140 
BTV卡酷少儿,rtp://239.11.0.129:5140 
嘉佳卡通,rtp://239.11.0.203:5140 
山东教育卫视,rtp://239.11.0.140:5140 
优漫卡通,rtp://239.11.0.63:5140 
哈哈炫动,rtp://239.11.0.64:5140 
NewTV古装剧场,rtp://239.11.0.141:5140 
NewTV动作电影,rtp://239.11.0.142:5140 
NewTV军旅剧场,rtp://239.11.0.143:5140 
NewTV家庭剧场,rtp://239.11.0.131:5140 
NewTV惊悚悬疑,rtp://239.11.0.144:5140 
NewTV海外剧场,rtp://239.11.0.145:5140 
NewTV搏击,rtp://239.11.0.146:5140 
NewTV明星大片,rtp://239.11.0.147:5140 
NewTV爱情喜剧,rtp://239.11.0.149:5140 
NewTV精品大剧,rtp://239.11.0.150:5140 
NewTV中国功夫,rtp://239.11.0.151:5140 
NewTV金牌综艺,rtp://239.11.0.152:5140 
NewTV军事评论,rtp://239.11.0.136:5140 
NewTV农业致富,rtp://239.11.0.137:5140 
NewTV精品记录,rtp://239.11.0.132:5140 
NewTV健康有约,rtp://239.11.0.133:5140 
NewTV精品体育,rtp://239.11.0.134:5140 
UTV影视精选,rtp://239.11.0.170:5140 
UTV热播剧场,rtp://239.11.0.171:5140 
UTV优视影院,rtp://239.11.0.172:5140 
UTV经典影视,rtp://239.11.0.173:5140 
UTV舞蹈视界,rtp://239.11.0.174:5140 
UTV都市剧场,rtp://239.11.0.175:5140 
UTV纪实天下,rtp://239.11.0.176:5140 
UTV电影天地,rtp://239.11.0.177:5140 
UTV经典剧场,rtp://239.11.0.178:5140 
UTV家庭影院,rtp://239.11.0.179:5140 
UTV第一电影,rtp://239.11.0.180:5140 
UTV卡通动画,rtp://239.11.0.181:5140 
UTV金色童年,rtp://239.11.0.182:5140 
UTV文化教育,rtp://239.11.0.183:5140 
UTV风云体育,rtp://239.11.0.184:5140 
UTV钓鱼生活,rtp://239.11.0.185:5140 
UTV炫酷动漫,rtp://239.11.0.186:5140 
UTV优视教育,rtp://239.11.0.187:5140 
UTV时尚音乐,rtp://239.11.0.188:5140 
UTV第一剧场,rtp://239.11.0.189:5140 
红色经典,rtp://239.10.0.201:5140 
情感热播,rtp://239.10.0.202:5140 
风云剧场,rtp://239.10.0.203:5140 
我看剧场,rtp://239.10.0.204:5140 
峥嵘岁月,rtp://239.10.0.205:5140 
青春在线,rtp://239.10.0.206:5140 
历史再现,rtp://239.10.0.207:5140 
宏伟巨献,rtp://239.10.0.208:5140 
阳光日记,rtp://239.10.0.209:5140 
童童乐园,rtp://239.10.0.210:5140 
儿歌天地,rtp://239.10.0.211:5140 
国学课堂,rtp://239.10.0.212:5140 
嘻哈动漫,rtp://239.10.0.213:5140 
酷乐卡通,rtp://239.10.0.214:5140 
快乐假期,rtp://239.10.0.215:5140 
奇趣动漫,rtp://239.10.0.216:5140 
欢乐启蒙,rtp://239.10.0.217:5140 
玩具乐园,rtp://239.10.0.218:5140 
趣乐探险,rtp://239.10.0.219:5140 
求索记录,rtp://239.10.0.221:5140
